Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
2,Reduced access to treatment for ongoing condition,Age group,45-64 years,,Due to pandemic,5.4,0.7,,1,
2,Reduced access to treatment for ongoing condition,Age group,65 years and over,1667,Total,,,,,
2,Reduced access to treatment for ongoing condition,Age group,65 years and over,,For any reason,8.4,0.7,,1,
2,Reduced access to treatment for ongoing condition,Age group,65 years and over,,Due to pandemic,3.5,0.7,,1,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,4046,Total,,,,,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,For any reason,7.5,0.6,,1,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,4.1,0.5,,1,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,681,Total,,,,,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,For any reason,13.3,2.3,,0,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,6.3,1.3,,0,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,458,Total,,,,,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,For any reason,8.5,1.7,,0,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,3.5,1.1,,0,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,743,Total,,,,,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,For any reason,9.3,1.3,,0,
2,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,Due to pandemic,4.5,0.8,,1,
2,Reduced access to treatment for ongoing condition,Sex,Male,2569,Total,,,,,
2,Reduced access to treatment for ongoing condition,Sex,Male,,For any reason,7.8,0.9,,0,
2,Reduced access to treatment for ongoing condition,Sex,Male,,Due to pandemic,3.7,0.5,,1,
2,Reduced access to treatment for ongoing condition,Sex,Female,3359,Total,,,,,
2,Reduced access to treatment for ongoing condition,Sex,Female,,For any reason,9.3,0.7,,1,
2,Reduced access to treatment for ongoing condition,Sex,Female,,Due to pandemic,5,0.4,,1,
2,Reduced access to treatment for ongoing condition,Education,High school graduate or less,1097,Total,,,,,
2,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,For any reason,8.9,1,,0,
2,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,Due to pandemic,3.2,0.6,,1,
2,Reduced access to treatment for ongoing condition,Education,Some college,2210,Total,,,,,
2,Reduced access to treatment for ongoing condition,Education,Some college,,For any reason,10.7,0.7,,0,
2,Reduced access to treatment for ongoing condition,Education,Some college,,Due to pandemic,6.7,0.6,,0,
2,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,2621,Total,,,,,
2,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,For any reason,6.2,0.5,,1,
2,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,Due to pandemic,3.5,0.5,,1,
2,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,5274,Total,,,,,
2,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,For any reason,8.3,0.5,,1,
2,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,Due to pandemic,4.4,0.3,,1,
2,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,654,Total,,,,,
2,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,For any reason,10.6,1.7,,0,
2,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,Due to pandemic,4.3,1,,1,
2,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,3622,Total,,,,,
2,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,For any reason,11.4,0.7,,1,
2,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,Due to pandemic,6.3,0.6,,1,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,685,Total,,,,,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,For any reason,18.7,1.8,,0,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,Due to pandemic,9.5,1.5,,0,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,2173,Total,,,,,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,For any reason,12.2,0.6,,1,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,Due to pandemic,6.4,0.7,,1,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,617,Total,,,,,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,For any reason,16.9,2.3,,0,
2,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,Due to pandemic,10.7,2.1,,0,
3,Reduced access to treatment for ongoing condition,Total,Total,5427,Total,,,,,
3,Reduced access to treatment for ongoing condition,Total,Total,,For any reason,7.3,0.6,,1,0
3,Reduced access to treatment for ongoing condition,Total,Total,,Due to pandemic,2.5,0.3,,1,1
3,Reduced access to treatment for ongoing condition,Age group,18-44 years,1969,Total,,,,,
3,Reduced access to treatment for ongoing condition,Age group,18-44 years,,For any reason,7.6,0.9,,0,0
3,Reduced access to treatment for ongoing condition,Age group,18-44 years,,Due to pandemic,2.5,0.5,,1,0
3,Reduced access to treatment for ongoing condition,Age group,45-64 years,1723,Total,,,,,
3,Reduced access to treatment for ongoing condition,Age group,45-64 years,,For any reason,7,0.7,,1,1
3,Reduced access to treatment for ongoing condition,Age group,45-64 years,,Due to pandemic,2.2,0.5,,1,1
3,Reduced access to treatment for ongoing condition,Age group,65 years and over,1735,Total,,,,,
3,Reduced access to treatment for ongoing condition,Age group,65 years and over,,For any reason,7.3,0.7,,1,0
3,Reduced access to treatment for ongoing condition,Age group,65 years and over,,Due to pandemic,2.8,0.6,,1,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,3461,Total,,,,,
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,For any reason,6.8,0.6,,1,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.2,0.3,,1,1
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,761,Total,,,,,
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,For any reason,10.2,1.6,,0,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,3,0.9,,0,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,390,Total,,,,,
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,For any reason,6.7,2,,0,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,,,*,,
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,815,Total,,,,,
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,For any reason,7.8,1.4,,1,0
3,Reduced access to treatment for ongoing condition,Race/Hispanic origin,Hispanic,,Due to pandemic,2.8,0.7,,1,0
3,Reduced access to treatment for ongoing condition,Sex,Male,2447,Total,,,,,
3,Reduced access to treatment for ongoing condition,Sex,Male,,For any reason,6.6,0.7,,1,0
3,Reduced access to treatment for ongoing condition,Sex,Male,,Due to pandemic,2.1,0.3,,1,1
3,Reduced access to treatment for ongoing condition,Sex,Female,2980,Total,,,,,
3,Reduced access to treatment for ongoing condition,Sex,Female,,For any reason,8.1,0.7,,1,0
3,Reduced access to treatment for ongoing condition,Sex,Female,,Due to pandemic,2.8,0.5,,1,1
3,Reduced access to treatment for ongoing condition,Education,High school graduate or less,1273,Total,,,,,
3,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,For any reason,7.2,0.9,,1,0
3,Reduced access to treatment for ongoing condition,Education,High school graduate or less,,Due to pandemic,2,0.4,,1,0
3,Reduced access to treatment for ongoing condition,Education,Some college,2571,Total,,,,,
3,Reduced access to treatment for ongoing condition,Education,Some college,,For any reason,8.5,0.8,,1,1
3,Reduced access to treatment for ongoing condition,Education,Some college,,Due to pandemic,3.2,0.4,,1,1
3,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,1583,Total,,,,,
3,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,For any reason,6.3,0.8,,1,0
3,Reduced access to treatment for ongoing condition,Education,Bachelor's degree or above,,Due to pandemic,2.2,0.6,,1,0
3,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,4596,Total,,,,,
3,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,For any reason,7.6,0.6,,1,0
3,Reduced access to treatment for ongoing condition,Urbanization,Metropolitan,,Due to pandemic,2.5,0.3,,1,1
3,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,831,Total,,,,,
3,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,For any reason,5.9,1.3,,1,1
3,Reduced access to treatment for ongoing condition,Urbanization,Non-Metropolitan,,Due to pandemic,2.6,0.8,,1,0
3,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,3399,Total,,,,,
3,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,For any reason,8.9,0.7,,1,1
3,Reduced access to treatment for ongoing condition,Chronic conditions,One or more chronic conditions,,Due to pandemic,2.8,0.3,,1,1
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,739,Total,,,,,
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,For any reason,13.5,1.8,,0,0
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.5,0.8,,1,1
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,2094,Total,,,,,
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,For any reason,9.7,1,,1,1
3,Reduced access to treatment for ongoing condition,Chronic conditions,Diagnosed hypertension,,Due to pandemic,3.3,0.5,,1,1
3,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,563,Total,,,,,
3,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,For any reason,11.5,1.5,,1,0
3,Reduced access to treatment for ongoing condition,Chronic conditions,Current asthma,,Due to pandemic,4.6,0.9,,1,1
1,Reduced access to regular checkup,Total,Total,6735,Total,,,,,
1,Reduced access to regular checkup,Total,Total,,For any reason,17.9,0.7,,,
1,Reduced access to regular checkup,Age group,18-44 years,2596,Total,,,,,
1,Reduced access to regular checkup,Age group,18-44 years,,For any reason,18,1.4,,,
1,Reduced access to regular checkup,Age group,18-44 years,,Due to pandemic,12.4,1.1,,,
1,Reduced access to regular checkup,Age group,45-64 years,2354,Total,,,,,
1,Reduced access to regular checkup,Age group,45-64 years,,For any reason,17,0.7,,,
1,Reduced access to regular checkup,Age group,45-64 years,,Due to pandemic,12.5,0.8,,,
1,Reduced access to regular checkup,Age group,65 years and over,1785,Total,,,,,
1,Reduced access to regular checkup,Age group,65 years and over,,For any reason,19.1,1,,,
1,Reduced access to regular checkup,Age group,65 years and over,,Due to pandemic,13.5,0.8,,,
1,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,4469,Total,,,,,
1,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,For any reason,15.9,0.7,,,
1,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,11.9,0.7,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,804,Total,,,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,For any reason,23.2,1.9,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,12.9,1.8,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,527,Total,,,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,For any reason,18.5,2.5,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,13.5,2.3,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,935,Total,,,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,For any reason,21.7,1.7,,,
1,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,Due to pandemic,15.1,1.5,,,
1,Reduced access to regular checkup,Sex,Male,2943,Total,,,,,
1,Reduced access to regular checkup,Sex,Male,,For any reason,16.4,1,,,
1,Reduced access to regular checkup,Sex,Male,,Due to pandemic,10.5,0.7,,,
1,Reduced access to regular checkup,Sex,Female,3792,Total,,,,,
1,Reduced access to regular checkup,Sex,Female,,For any reason,19.4,1.1,,,
1,Reduced access to regular checkup,Sex,Female,,Due to pandemic,14.7,1,,,
1,Reduced access to regular checkup,Education,High school graduate or less,1286,Total,,,,,
1,Reduced access to regular checkup,Education,High school graduate or less,,For any reason,18.7,1.4,,,
1,Reduced access to regular checkup,Education,High school graduate or less,,Due to pandemic,11.6,1.1,,,
1,Reduced access to regular checkup,Education,Some college,2533,Total,,,,,
1,Reduced access to regular checkup,Education,Some college,,For any reason,18.6,1.2,,,
1,Reduced access to regular checkup,Education,Some college,,Due to pandemic,13.6,1,,,
1,Reduced access to regular checkup,Education,Bachelor's degree or above,2916,Total,,,,,
1,Reduced access to regular checkup,Education,Bachelor's degree or above,,For any reason,16.4,0.7,,,
1,Reduced access to regular checkup,Education,Bachelor's degree or above,,Due to pandemic,13,0.6,,,
1,Reduced access to regular checkup,Urbanization,Metropolitan,6002,Total,,,,,
1,Reduced access to regular checkup,Urbanization,Metropolitan,,For any reason,17.9,0.7,,,
1,Reduced access to regular checkup,Urbanization,Metropolitan,,Due to pandemic,12.6,0.6,,,
1,Reduced access to regular checkup,Urbanization,Non-Metropolitan,733,Total,,,,,
1,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,For any reason,17.9,2.3,,,
1,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,Due to pandemic,13.5,1.9,,,
1,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,4046,Total,,,,,
1,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,For any reason,20.9,0.7,,,
1,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,Due to pandemic,15,0.8,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,765,Total,,,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,For any reason,24.8,2,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,Due to pandemic,16.9,2,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,2403,Total,,,,,
1,Reduced access to dental care,Education,Some college,2532,Total,,,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,For any reason,21.9,1.2,,,
1,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,Due to pandemic,15.7,1.1,,,
1,Reduced access to regular checkup,Chronic conditions,Current asthma,693,Total,,,,,
1,Reduced access to regular checkup,Chronic conditions,Current asthma,,For any reason,25.7,2.6,,,
1,Reduced access to regular checkup,Chronic conditions,Current asthma,,Due to pandemic,18,2.1,,,
2,Reduced access to regular checkup,Total,Total,5938,Total,,,,,
2,Reduced access to regular checkup,Total,Total,,For any reason,15.6,0.5,,1,
2,Reduced access to regular checkup,Total,Total,,Due to pandemic,10.1,0.5,,1,
2,Reduced access to regular checkup,Age group,18-44 years,2207,Total,,,,,
2,Reduced access to regular checkup,Age group,18-44 years,,For any reason,16.3,0.9,,0,
2,Reduced access to regular checkup,Age group,18-44 years,,Due to pandemic,9.9,0.9,,1,
2,Reduced access to regular checkup,Age group,45-64 years,2063,Total,,,,,
2,Reduced access to regular checkup,Age group,45-64 years,,For any reason,15.5,0.9,,0,
2,Reduced access to regular checkup,Age group,45-64 years,,Due to pandemic,11,0.7,,0,
2,Reduced access to regular checkup,Age group,65 years and over,1668,Total,,,,,
2,Reduced access to regular checkup,Age group,65 years and over,,For any reason,14,1.2,,1,
2,Reduced access to regular checkup,Age group,65 years and over,,Due to pandemic,8.9,1,,1,
2,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,4045,Total,,,,,
2,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,For any reason,13.1,0.6,,1,
2,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,8.5,0.6,,1,
2,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,687,Total,,,,,
2,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,For any reason,21.2,2,,0,
2,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,14.3,1.7,,0,
2,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,459,Total,,,,,
2,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,For any reason,20.4,2.3,,0,
2,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,15.3,1.7,,0,
2,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,747,Total,,,,,
2,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,For any reason,18.9,1.8,,0,
2,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,Due to pandemic,10.6,1.6,,1,
2,Reduced access to regular checkup,Sex,Male,2572,Total,,,,,
2,Reduced access to regular checkup,Sex,Male,,For any reason,14.6,0.8,,0,
2,Reduced access to regular checkup,Sex,Male,,Due to pandemic,8.9,0.5,,1,
2,Reduced access to regular checkup,Sex,Female,3366,Total,,,,,
2,Reduced access to regular checkup,Sex,Female,,For any reason,16.4,0.9,,1,
2,Reduced access to regular checkup,Sex,Female,,Due to pandemic,11.2,0.7,,1,
2,Reduced access to regular checkup,Education,High school graduate or less,1095,Total,,,,,
2,Reduced access to regular checkup,Education,High school graduate or less,,For any reason,17,1.3,,0,
2,Reduced access to regular checkup,Education,High school graduate or less,,Due to pandemic,8.6,0.9,,1,
2,Reduced access to regular checkup,Education,Some college,2219,Total,,,,,
2,Reduced access to regular checkup,Education,Some college,,For any reason,15.8,0.9,,1,
2,Reduced access to regular checkup,Education,Some college,,Due to pandemic,11.2,1,,0,
2,Reduced access to regular checkup,Education,Bachelor's degree or above,2624,Total,,,,,
2,Reduced access to regular checkup,Education,Bachelor's degree or above,,For any reason,13.8,0.6,,1,
2,Reduced access to regular checkup,Education,Bachelor's degree or above,,Due to pandemic,10.5,0.6,,1,
2,Reduced access to regular checkup,Urbanization,Metropolitan,5284,Total,,,,,
2,Reduced access to regular checkup,Urbanization,Metropolitan,,For any reason,15.7,0.5,,1,
2,Reduced access to regular checkup,Urbanization,Metropolitan,,Due to pandemic,10.2,0.5,,1,
2,Reduced access to regular checkup,Urbanization,Non-Metropolitan,654,Total,,,,,
2,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,For any reason,14.9,1.5,,0,
1,Reduced access to dental care,Education,Some college,,For any reason,27,1.1,,,
2,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,Due to pandemic,9.3,1.7,,1,
2,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,3624,Total,,,,,
2,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,For any reason,18.4,0.6,,1,
2,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,Due to pandemic,11.9,0.6,,1,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,686,Total,,,,,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,For any reason,24.1,1.9,,0,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,Due to pandemic,15.1,1.5,,0,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,2174,Total,,,,,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,For any reason,19.2,0.8,,1,
2,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,Due to pandemic,11.9,0.8,,1,
2,Reduced access to regular checkup,Chronic conditions,Current asthma,615,Total,,,,,
2,Reduced access to regular checkup,Chronic conditions,Current asthma,,For any reason,25,2.2,,0,
2,Reduced access to regular checkup,Chronic conditions,Current asthma,,Due to pandemic,15.8,1.7,,0,
3,Reduced access to regular checkup,Total,Total,5424,Total,,,,,
3,Reduced access to regular checkup,Total,Total,,For any reason,12.5,0.5,,1,1
3,Reduced access to regular checkup,Total,Total,,Due to pandemic,5.7,0.5,,1,1
3,Reduced access to regular checkup,Age group,18-44 years,1971,Total,,,,,
3,Reduced access to regular checkup,Age group,18-44 years,,For any reason,15.3,1.1,,0,0
3,Reduced access to regular checkup,Age group,18-44 years,,Due to pandemic,7.6,0.9,,1,0
3,Reduced access to regular checkup,Age group,45-64 years,1721,Total,,,,,
3,Reduced access to regular checkup,Age group,45-64 years,,For any reason,11.4,1,,1,1
3,Reduced access to regular checkup,Age group,45-64 years,,Due to pandemic,4.9,0.8,,1,1
3,Reduced access to regular checkup,Age group,65 years and over,1732,Total,,,,,
3,Reduced access to regular checkup,Age group,65 years and over,,For any reason,8.1,0.8,,1,1
3,Reduced access to regular checkup,Age group,65 years and over,,Due to pandemic,2.9,0.6,,1,1
3,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,3457,Total,,,,,
3,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,For any reason,8.9,0.7,,1,1
3,Reduced access to regular checkup,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,3.7,0.5,,1,1
3,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,760,Total,,,,,
3,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,For any reason,23.5,2.4,,0,0
3,Reduced access to regular checkup,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,9.4,2.2,,0,0
3,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,390,Total,,,,,
3,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,For any reason,13.5,2.6,,0,1
3,Reduced access to regular checkup,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,8.3,2.1,,0,1
3,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,817,Total,,,,,
3,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,For any reason,17.8,1.8,,0,0
3,Reduced access to regular checkup,Race/Hispanic origin,Hispanic,,Due to pandemic,9.7,1.6,,1,0
3,Reduced access to regular checkup,Sex,Male,2454,Total,,,,,
3,Reduced access to regular checkup,Sex,Male,,For any reason,12,0.8,,1,1
3,Reduced access to regular checkup,Sex,Male,,Due to pandemic,5.6,0.6,,1,1
3,Reduced access to regular checkup,Sex,Female,2970,Total,,,,,
3,Reduced access to regular checkup,Sex,Female,,For any reason,13,0.8,,1,1
3,Reduced access to regular checkup,Sex,Female,,Due to pandemic,5.9,0.7,,1,1
3,Reduced access to regular checkup,Education,High school graduate or less,1276,Total,,,,,
3,Reduced access to regular checkup,Education,High school graduate or less,,For any reason,14.3,1.2,,1,0
3,Reduced access to regular checkup,Education,High school graduate or less,,Due to pandemic,6.3,1,,1,0
3,Reduced access to regular checkup,Education,Some college,2562,Total,,,,,
3,Reduced access to regular checkup,Education,Some college,,For any reason,12.4,1,,1,1
3,Reduced access to regular checkup,Education,Some college,,Due to pandemic,5.7,0.7,,1,1
3,Reduced access to regular checkup,Education,Bachelor's degree or above,1586,Total,,,,,
3,Reduced access to regular checkup,Education,Bachelor's degree or above,,For any reason,10.1,1,,1,1
3,Reduced access to regular checkup,Education,Bachelor's degree or above,,Due to pandemic,5,0.8,,1,1
3,Reduced access to regular checkup,Urbanization,Metropolitan,4594,Total,,,,,
3,Reduced access to regular checkup,Urbanization,Metropolitan,,For any reason,13.3,0.6,,1,1
3,Reduced access to regular checkup,Urbanization,Metropolitan,,Due to pandemic,6.3,0.5,,1,1
3,Reduced access to regular checkup,Urbanization,Non-Metropolitan,830,Total,,,,,
3,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,For any reason,7.6,1.1,,1,1
3,Reduced access to regular checkup,Urbanization,Non-Metropolitan,,Due to pandemic,2.1,0.6,,1,1
3,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,3398,Total,,,,,
3,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,For any reason,12.8,0.8,,1,1
3,Reduced access to regular checkup,Chronic conditions,One or more chronic conditions,,Due to pandemic,5.7,0.7,,1,1
3,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,737,Total,,,,,
3,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,For any reason,17.5,2.2,,1,1
3,Reduced access to regular checkup,Chronic conditions,Diagnosed diabetes,,Due to pandemic,7.8,1.9,,1,1
3,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,2093,Total,,,,,
3,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,For any reason,12.9,1.1,,1,1
3,Reduced access to regular checkup,Chronic conditions,Diagnosed hypertension,,Due to pandemic,5.4,0.9,,1,1
3,Reduced access to regular checkup,Chronic conditions,Current asthma,562,Total,,,,,
3,Reduced access to regular checkup,Chronic conditions,Current asthma,,For any reason,18.5,1.7,,1,1
3,Reduced access to regular checkup,Chronic conditions,Current asthma,,Due to pandemic,9.9,1.9,,1,1
1,Reduced access to prescription drugs or medications,Total,Total,6740,Total,,,,,
1,Reduced access to prescription drugs or medications,Total,Total,,For any reason,11,0.6,,,
1,Reduced access to prescription drugs or medications,Total,Total,,Due to pandemic,3.2,0.3,,,
1,Reduced access to prescription drugs or medications,Age group,18-44 years,2598,Total,,,,,
1,Reduced access to prescription drugs or medications,Age group,18-44 years,,For any reason,11,0.9,,,
1,Reduced access to prescription drugs or medications,Age group,18-44 years,,Due to pandemic,4.2,0.5,,,
1,Reduced access to prescription drugs or medications,Age group,45-64 years,2357,Total,,,,,
1,Reduced access to prescription drugs or medications,Age group,45-64 years,,For any reason,11.3,0.8,,,
1,Reduced access to prescription drugs or medications,Age group,45-64 years,,Due to pandemic,2.7,0.4,,,
1,Reduced access to prescription drugs or medications,Age group,65 years and over,1785,Total,,,,,
1,Reduced access to prescription drugs or medications,Age group,65 years and over,,For any reason,10.5,0.9,,,
1,Reduced access to prescription drugs or medications,Age group,65 years and over,,Due to pandemic,1.6,0.4,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,4476,Total,,,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,For any reason,8.7,0.5,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.4,0.3,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,804,Total,,,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,For any reason,17.2,1.5,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,3.7,0.8,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,526,Total,,,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,For any reason,11.8,2,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,3.9,0.7,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,934,Total,,,,,
1,Reduced access to prescription drugs or medications,Race/Hispanic origin,Hispanic,,For any reason,14.8,1.5,,,
